"Age","Gender","PID","MusExp","Rating","Track","Experiment","Scale"
26,"Female","E1_S1","Musician",5,"Sadness","Exp1","SADNESS"
26,"Female","E1_S1","Musician",3,"Sadness","Exp1","CALMNESS"
26,"Female","E1_S1","Musician",1,"Sadness","Exp1","JOY"
26,"Female","E1_S1","Musician",1,"Sadness","Exp1","ANGER"
26,"Female","E1_S1","Musician",2,"Sadness","Exp1","FEAR"
26,"Female","E1_S1","Musician",1,"Sadness","Exp1","POWER"
26,"Female","E1_S1","Musician",1,"Sadness","Exp1","SURPRISE"
26,"Female","E1_S1","Musician",1,"Joy","Exp1","SADNESS"
26,"Female","E1_S1","Musician",2,"Joy","Exp1","CALMNESS"
26,"Female","E1_S1","Musician",5,"Joy","Exp1","JOY"
26,"Female","E1_S1","Musician",1,"Joy","Exp1","ANGER"
26,"Female","E1_S1","Musician",2,"Joy","Exp1","FEAR"
26,"Female","E1_S1","Musician",2,"Joy","Exp1","POWER"
26,"Female","E1_S1","Musician",3,"Joy","Exp1","SURPRISE"
26,"Female","E1_S1","Musician",1,"Calmness","Exp1","SADNESS"
26,"Female","E1_S1","Musician",5,"Calmness","Exp1","CALMNESS"
26,"Female","E1_S1","Musician",3,"Calmness","Exp1","JOY"
26,"Female","E1_S1","Musician",1,"Calmness","Exp1","ANGER"
26,"Female","E1_S1","Musician",1,"Calmness","Exp1","FEAR"
26,"Female","E1_S1","Musician",2,"Calmness","Exp1","POWER"
26,"Female","E1_S1","Musician",1,"Calmness","Exp1","SURPRISE"
26,"Female","E1_S1","Musician",2,"Anger","Exp1","SADNESS"
26,"Female","E1_S1","Musician",1,"Anger","Exp1","CALMNESS"
26,"Female","E1_S1","Musician",1,"Anger","Exp1","JOY"
26,"Female","E1_S1","Musician",4,"Anger","Exp1","ANGER"
26,"Female","E1_S1","Musician",3,"Anger","Exp1","FEAR"
26,"Female","E1_S1","Musician",4,"Anger","Exp1","POWER"
26,"Female","E1_S1","Musician",2,"Anger","Exp1","SURPRISE"
26,"Female","E1_S1","Musician",1,"Fear","Exp1","SADNESS"
26,"Female","E1_S1","Musician",1,"Fear","Exp1","CALMNESS"
26,"Female","E1_S1","Musician",3,"Fear","Exp1","JOY"
26,"Female","E1_S1","Musician",2,"Fear","Exp1","ANGER"
26,"Female","E1_S1","Musician",4,"Fear","Exp1","FEAR"
26,"Female","E1_S1","Musician",5,"Fear","Exp1","POWER"
26,"Female","E1_S1","Musician",2,"Fear","Exp1","SURPRISE"
26,"Female","E1_S1","Musician",2,"Power","Exp1","SADNESS"
26,"Female","E1_S1","Musician",1,"Power","Exp1","CALMNESS"
26,"Female","E1_S1","Musician",1,"Power","Exp1","JOY"
26,"Female","E1_S1","Musician",3,"Power","Exp1","ANGER"
26,"Female","E1_S1","Musician",3,"Power","Exp1","FEAR"
26,"Female","E1_S1","Musician",3,"Power","Exp1","POWER"
26,"Female","E1_S1","Musician",1,"Power","Exp1","SURPRISE"
26,"Female","E1_S1","Musician",3,"Surprise","Exp1","SADNESS"
26,"Female","E1_S1","Musician",2,"Surprise","Exp1","CALMNESS"
26,"Female","E1_S1","Musician",3,"Surprise","Exp1","JOY"
26,"Female","E1_S1","Musician",2,"Surprise","Exp1","ANGER"
26,"Female","E1_S1","Musician",2,"Surprise","Exp1","FEAR"
26,"Female","E1_S1","Musician",3,"Surprise","Exp1","POWER"
26,"Female","E1_S1","Musician",3,"Surprise","Exp1","SURPRISE"
26,"Female","E2_S1","Musician",4,"Sadness","Exp2","SADNESS"
26,"Female","E2_S1","Musician",2,"Sadness","Exp2","CALMNESS"
26,"Female","E2_S1","Musician",1,"Sadness","Exp2","JOY"
26,"Female","E2_S1","Musician",1,"Sadness","Exp2","ANGER"
26,"Female","E2_S1","Musician",2,"Sadness","Exp2","FEAR"
26,"Female","E2_S1","Musician",4,"Sadness","Exp2","POWER"
26,"Female","E2_S1","Musician",1,"Sadness","Exp2","SURPRISE"
26,"Female","E2_S1","Musician",2,"Joy","Exp2","SADNESS"
26,"Female","E2_S1","Musician",2,"Joy","Exp2","CALMNESS"
26,"Female","E2_S1","Musician",4,"Joy","Exp2","JOY"
26,"Female","E2_S1","Musician",1,"Joy","Exp2","ANGER"
26,"Female","E2_S1","Musician",1,"Joy","Exp2","FEAR"
26,"Female","E2_S1","Musician",3,"Joy","Exp2","POWER"
26,"Female","E2_S1","Musician",3,"Joy","Exp2","SURPRISE"
26,"Female","E2_S1","Musician",3,"Calmness","Exp2","SADNESS"
26,"Female","E2_S1","Musician",5,"Calmness","Exp2","CALMNESS"
26,"Female","E2_S1","Musician",4,"Calmness","Exp2","JOY"
26,"Female","E2_S1","Musician",1,"Calmness","Exp2","ANGER"
26,"Female","E2_S1","Musician",1,"Calmness","Exp2","FEAR"
